chr5	142485781	142486240	chr5	143347693	143348313	3
chr22	41686189	41686250	chr22	41697675	41697711	3
chr7	150813227	150813441	chr7	150821976	150822526	3
chr2	49914974	49915237	chr2	50628883	50629822	4
chr17	46413390	46413890	chr17	46662801	46663003	3
chr17	38956371	38956597	chr17	39822267	39822408	3
chr14	23025962	23026239	chr14	23399664	23399971	3
chr1	199441511	199441541	chr1	199471435	199471632	3
chr18	47536110	47536255	chr18	47956518	47956786	3
chr1	95134166	95135054	chr1	95267279	95267700	3
chr4	68414845	68415261	chr4	68775477	68776295	5
chr12	53278637	53279581	chr12	53346001	53348347	6
chr2	27184644	27184921	chr2	27232982	27235009	6
chr1	176866565	176866668	chr1	177915163	177915482	6
chr12	75196998	75197387	chr12	75683739	75683982	4
chr20	47950428	47951074	chr20	48505070	48505452	7
chr21	36424080	36424166	chr4	38181469	38181509	3
chr1	249120493	249121256	chr1	249199935	249201188	6
chr9	110001889	110002559	chr9	110103550	110103904	5
chr1	68577729	68577803	chr18	31653891	31653928	3
chr4	4262087	4262210	chr4	4432301	4432585	3
chrX	48774121	48774910	chrX	48802846	48803594	6
chr1	8621093	8621504	chr1	8631096	8631788	3
chr3	151647575	151647626	chr3	151814698	151814734	3
chr1	88646272	88647288	chr1	88768230	88769135	8
chr15	63834543	63834590	chr8	19575882	19575947	3
chr8	86365799	86365912	chr8	87045514	87045817	3
chr5	131722730	131723565	chr5	131805109	131805406	3
chr16	515472	515538	chr6	8472285	8472434	3
chr1	205760315	205761088	chr1	205876659	205877347	11
chr17	59939176	59939813	chr17	60186869	60187316	3
chr8	62985081	62985124	chr9	115204364	115204433	3
chrX	73353375	73353743	chrX	73563868	73564098	3
chr1	160804679	160805258	chr1	160920474	160921457	5
chr7	93429141	93429389	chr7	94065519	94066303	4
chr2	86310830	86310903	chr7	121592932	121592973	3
chr10	101433921	101433962	chr5	99807800	99807854	3
chr16	6082564	6082905	chr16	6215095	6215265	3
chr12	55153441	55153859	chr12	55351556	55352454	11
chr17	36061229	36061777	chr17	36176079	36176614	4
chr11	124632536	124633393	chr11	124663258	124664289	8
chr11	67273780	67273824	chr7	86942007	86942052	3
chr7	114996453	114996749	chr7	115388307	115388556	3
chrX	117778407	117779114	chrX	117941227	117941909	10
chrX	150921937	150922706	chrX	151801009	151801392	4
chr15	75876590	75876801	chr3	105224789	105224836	3
chr13	102376955	102377081	chr7	23692870	23692966	3
chr3	17347877	17349422	chr3	17453937	17455081	16
chr11	64570752	64570940	chr11	64610299	64610779	3
chr5	72817755	72818240	chr5	72832247	72832881	3
chr6	123051674	123052258	chr6	123159023	123159763	13
chr6	104773455	104773707	chr6	104930804	104931513	4
chr3	87309298	87309808	chr3	87552893	87553552	5
chr1	41078024	41078376	chr1	41134292	41134857	12
chr2	27906242	27906686	chr2	27946062	27946635	4
chr1	27659249	27659817	chr1	27721698	27722206	4
chr16	74743352	74743580	chr16	74760691	74760930	3
chr15	99600975	99601020	chr15	99771264	99771295	3
chr11	19972856	19973986	chr11	20131608	20133652	23
chr5	42912240	42912416	chr5	43010845	43011031	3
chr17	48499125	48499525	chr17	48556370	48557031	3
chr5	90519525	90520416	chr5	90680717	90681842	6
chr3	45873808	45874553	chr3	45970668	45970874	4
chr20	10280707	10280772	chr5	32207087	32207180	3
chr12	52537708	52537823	chr8	125580450	125580531	3
chr20	31109472	31109802	chr20	31238023	31238493	3
chr6	132246158	132246594	chr6	132580310	132580524	8
chr7	143809921	143810452	chr7	144087786	144087933	3
chr11	76899181	76899836	chr11	77259417	77260177	6
chr12	58266899	58267427	chr12	58299007	58299413	6
chr12	106099530	106099932	chr12	106542728	106543487	3
chr2	136673231	136675423	chr2	137135853	137136820	20
chr1	115584455	115584927	chr1	115655136	115655852	3
chr20	61316804	61317952	chr20	61422798	61423121	4
chr17	6181673	6183319	chr17	6316201	6316699	10
chr7	123275107	123276252	chr7	123340946	123342112	12
chr11	74322460	74322758	chr11	74450823	74451210	5
chr5	34524817	34525720	chr5	34898233	34898611	3
chr7	20616434	20616528	chrX	13695592	13695669	3
chr5	61175897	61175948	chr9	99365138	99365189	3
chr20	1455223	1456448	chr20	1483215	1484657	24
chr6	32862501	32863160	chr6	32915765	32915908	3
chr11	130304251	130305259	chr11	130763469	130764794	18
chr11	75434265	75434654	chr11	75478833	75479943	5
chr1	198964424	198964579	chr5	131299857	131299903	3
chr11	76493667	76494068	chr11	76630244	76630977	3
chr11	134095388	134095546	chr11	134114432	134114842	3
chr15	35000538	35000825	chr15	35013457	35014435	3
chr1	151940502	151941380	chr1	151961130	151961487	4
chr15	59983266	59984170	chr15	60026561	60028986	12
chr1	81992592	81992637	chr5	65577244	65577317	3
chr10	52873578	52873733	chr16	85133131	85133162	3
chr8	101137379	101137596	chr8	101572040	101572194	3
chr15	46006477	46006987	chr15	46604189	46604696	3
chr17	55935268	55935625	chr17	56072924	56073128	5
chr14	70285511	70286143	chr14	70494003	70494816	6
chr11	189934	190407	chr11	518763	519186	3
chr20	9391876	9392385	chr20	9590387	9590954	3
chr8	99182200	99182451	chr8	99389630	99390681	6
chr10	118927425	118927473	chr15	92084462	92084542	3
chr1	66423244	66428672	chr1	66706956	66709772	201
chr1	151905723	151908419	chr1	151973053	151974921	54
chr2	232513202	232513938	chr2	232538239	232538545	4
chr1	198056774	198058072	chr1	198124655	198127512	13
chr1	209160108	209160166	chr16	3492812	3492877	3
chr9	5442691	5442878	chr9	5600515	5600793	3
chr3	120341975	120342018	chr9	90721331	90721368	3
chr3	189518888	189518925	chr6	55621805	55622057	3
chr4	153277527	153277568	chr5	175260526	175260614	3
chr6	51750076	51750140	chr9	127380744	127380801	3
chr14	55032014	55032436	chr14	55359899	55360273	3
chr10	3602518	3602555	chr15	42215900	42215953	3
chr19	45942994	45943321	chr19	46146066	46146598	3
chr13	76054892	76055049	chr7	10018651	10018695	4
chr12	13251115	13251312	chr12	13408406	13409010	5
chr17	39573490	39574058	chr17	39818838	39819252	3
chrX	23712366	23712922	chrX	23799441	23800334	3
chr10	111968118	111968941	chr10	111985814	111986415	4
chr5	56480192	56480950	chr5	56516816	56517143	3
chr11	47845578	47845693	chr8	95183167	95183318	5
chrX	7964237	7965045	chrX	8332894	8333446	4
chr2	109224166	109224711	chr2	109252469	109253151	6
chr6	3885208	3886284	chr6	3977881	3979089	10
chr1	185139646	185139926	chr1	185664334	185665692	4
chr16	11356061	11356257	chr16	11451851	11451905	3
chr12	40404788	40405162	chr12	40543971	40544912	3
chr5	137676540	137677457	chr5	137688099	137688361	3
chr14	105915064	105915679	chr14	105994618	105994958	3
chr1	156064041	156064253	chr1	156100354	156100596	3
chrX	118278887	118279640	chrX	118315357	118316104	6
chr17	73717203	73717819	chr17	73743977	73745104	3
chr3	52444779	52445556	chr3	52480901	52481466	4
chr11	24690016	24690088	chr12	14418306	14418353	3
chr16	82850974	82851087	chr3	56374474	56374594	3
chr2	104404909	104404983	chr5	15328886	15329043	3
chr8	53026528	53027504	chr8	53320200	53320379	3
chr10	4705514	4706191	chr10	4857199	4857520	3
chr17	2732927	2733612	chr17	2833253	2833647	3
chr1	160070570	160071531	chr1	160346407	160346676	5
chr4	4490028	4490631	chr4	4509573	4509923	4
chr19	1767102	1767239	chr19	1775691	1775723	3
chr15	69071322	69071606	chr15	69168114	69168317	3
chr12	53606798	53608155	chr12	53643550	53646155	34
chr17	27470834	27471362	chr17	27546754	27547007	3
chr7	101245637	101245988	chr7	101879846	101880312	4
chr11	85405162	85405637	chr11	85566112	85566525	4
chr15	74419686	74421095	chr15	74614200	74615351	12
